Video ID,Title,Channel,Channel Subscribers,View Count,Likes,Dislikes,Comment Count,Published Date,Duration
4cmU293h2lk,"GOP rep: 'If Biden is unwilling to do his job, I'm going to do it for him'",Fox News,10900000,100194,2582,-1,949,2023-10-15T22:15:00Z,257
5vzPZEpaHhI,Biden admin quietly suspended Iran envoy,Fox News,10900000,233542,3357,181,1278,2023-10-15T14:00:03Z,395
dfnsBc36z0E,"The Biden admin has 'given up the upper hand,' military expert warns",Fox News,10900000,146966,3786,-1,1273,2023-10-15T13:15:02Z,326
IPGBJtgS1EA,"Iran threatens 'huge earthquake' for Israel, warns against Gaza invasion",Fox News,10900000,1520672,11983,2306,7876,2023-10-15T10:45:00Z,480
1B_8N0Bm4qM,New Yorkers stand in solidarity with Israeli basketball team,Fox News,10900000,29417,1010,-1,413,2023-10-15T21:30:00Z,297
798QkFZr8es,Ted Cruz to Biden admin: Talk is cheap,Fox News,10900000,89070,2720,-1,990,2023-10-15T11:45:00Z,409
EM8xyYCii8M,"If Hezbollah attacks us, 2006 will seem like a walk in the park: Lt Col Conricus",Fox News,10900000,635470,10298,766,2334,2023-10-15T03:30:08Z,411
C54nE2go50o,Nikki Haley: Things will start to get messy,Fox News,10900000,62866,1366,-1,743,2023-10-15T07:00:05Z,394
MXtTWFhuYbA,"Mark Levin: NYT, US media 'have once again taken wrong side'",Fox News,10900000,328760,10609,1792,N/A,2023-10-15T10:00:15Z,796
nVp8aK67hf0,Medal of Honor recipient says Israel-Hamas war will come down to this,Fox News,10900000,238369,2768,-1,978,2023-10-15T09:00:34Z,428
VgqEeixYvYE,"Israel’s ground invasion delayed, but 'going forward': Report",Fox News,10900000,201004,2518,215,1168,2023-10-15T02:12:59Z,248
8H3zT9OOsnw,Deadline expires for Gaza civilians to flee as Israeli troops amass at border,Fox News,10900000,574207,4122,-1,41,2023-10-15T00:46:08Z,N/A
m2-S-5TM0pw,Iran's UN statement is a 'sick joke': Guy Benson,Fox News,10900000,258424,3898,-1,N/A,2023-10-15T04:00:31Z,697
Ay1kRXvRKY4,Protester interrupts Biden’s speech while addressing terror attack on Israel,Fox News,10900000,189678,3156,98,1782,2023-10-15T08:00:08Z,391
LFJ_MGh--9U,Former Israeli PM: We will win this war,Fox News,10900000,66778,1260,-1,698,2023-10-15T01:15:02Z,915
Gxyp8CafnhI,Hamas must 'cease to exist': Sen. Tim Scott,Fox News,10900000,22971,750,173,428,2023-10-15T06:00:06Z,373
1o8Cx582Jm4,Israel creating ‘safe zones’ for Gaza civilians: Israeli Ambassador,Fox News,10900000,60332,1100,-1,458,2023-10-14T23:45:00Z,367
Nks4tD6iB0E,Biden faces calls to refreeze $6 billion in Iranian assets,Fox News,10900000,51982,1185,25,869,2023-10-15T02:00:19Z,322
bsAUuO7p81E,There's a test for moral clarity right now: Netanyahu foreign policy adviser,Fox News,10900000,58897,1204,-1,535,2023-10-14T19:15:00Z,303
3j5Xdhxruo4,DeSantis arranges flights to get 'hundreds' of Americans out of Israel,Fox News,10900000,135577,3036,-1,1527,2023-10-14T17:45:01Z,414
pecKtF6KbHo,IDF spokesperson: We know what we're up against,Fox News,10900000,176303,2517,336,750,2023-10-15T00:30:31Z,467
POsRFn1zpBk,"Hypocrisy, lack of moral compass on campuses is anti-Semitism: CEO",Fox News,10900000,45613,1014,-1,604,2023-10-15T05:00:09Z,238
3ddX6To5iS8,US cities remain on alert after ‘day of rage’,Fox News,10900000,52504,832,0,474,2023-10-14T21:30:00Z,199
7Sec1u4b-10,Puppy found whose owners were killed in Hamas attack,Fox News,10900000,144684,4618,-1,1104,2023-10-14T16:15:00Z,191
D_IO9iGQLAE,Israel has not many options left other than 'bloody' ground invasion: Gen. Perkins,Fox News,10900000,108166,1551,235,722,2023-10-14T20:45:00Z,340
